comment_id,video_part,comment_level,parent_id,comment_text,clean_text_model,context_text_model,like_count,reply_count,bert_sentiment,bert_confidence,primary_issue,stance_label_rule,action_intent_rule,topic_id,sentiment_label,issue_label,stance_label,action_intent_label,label_notes
UgxhVPFFyVSwVIS_OXJ4AaABAg.AXnA7CrnNCSAXnDV4eroG-,Part 2,reply,UgxhVPFFyVSwVIS_OXJ4AaABAg,Sudh dapat bitcoin kaya dia,sudh dapat bitcoin kaya dia,parent_context ferry irwandi mana ngerti indonesia diserang asing reply_text sudh dapat bitcoin kaya dia,2,0,neutral,0.39945584535598755,lainnya,tidak_terdeteksi,tidak_terdeteksi,0.0,,,,,
Ugz2Rdbui_Y_y3AF2el4AaABAg.AXnCoF5a70tAXo_OSlVU2E,Part 2,reply,Ugz2Rdbui_Y_y3AF2el4AaABAg,​@yosepyonatan5818jawaban 2 dr 10 tong,2 dari 10 tong,parent_context tolong disiarkan di tv nasional reply_text 2 dari 10 tong,0,0,positive,0.3527073562145233,lainnya,tidak_terdeteksi,tidak_terdeteksi,0.0,,,,,
UgxfapUx0pa4hk7_usl4AaABAg.AXnEhGPLFQiAXnUoSqLIMT,Part 2,reply,UgxfapUx0pa4hk7_usl4AaABAg,TV nasional yang penting duit,tv nasional yang penting duit,parent_context yang seperti gini yang harus di siarkan secara luas di tv nasional bukan yang menina bobokan thumb up untuk pak gema reply_text tv nasional yang penting duit,11,0,negative,0.48644426465034485,lainnya,tidak_terdeteksi,tidak_terdeteksi,4.0,,,,,
UgwMUWd2NONy5p08gwJ4AaABAg.AXn9EeHUJlTAXnADtID8qU,Part 2,reply,UgwMUWd2NONy5p08gwJ4AaABAg,​@dodyagung9658mungkin dan tak mungkin ada tp indo perlu jg pemersatu nya,dan tidak mungkin ada tp indo perlu jg pemersatu nya,parent_context kupngn pak gema bang bennix gabung bahas ini di satu ruang biar tidak sikut2 an dan bersatu buat najemin mksd dan tujuan nya ke masyarakat reply_text dan tidak mungkin ada tp indo perlu jg pemersatu nya,0,0,positive,0.3982725739479065,lainnya,tidak_terdeteksi,tidak_terdeteksi,0.0,,,,,
UgxpRtkDivT9N9VJPrZ4AaABAg,Part 2,top_level,,Yg penting sih DSI jalan biar kering tuh singapura,yang penting sih dsi jalan biar kering tuh singapura,yang penting sih dsi jalan biar kering tuh singapura,3,0,positive,0.3697042167186737,lainnya,tidak_terdeteksi,tidak_terdeteksi,9.0,,,,,
Ugw0tIua_x_5nz3lwMF4AaABAg,Part 2,top_level,,Amiiiiiin yang keras... Indonesia bisa selamat,amiin yang keras indonesia bisa selamat,amiin yang keras indonesia bisa selamat,16,3,positive,0.44373661279678345,lainnya,tidak_terdeteksi,tidak_terdeteksi,6.0,,,,,
UgzOgbOPI5TIlxrkE5x4AaABAg.AXoxV1GeHXNAXr1NXphOkU,Part 2,reply,UgzOgbOPI5TIlxrkE5x4AaABAg,dia anggota resmi freemasonry. makanya berani ngomong gini,dia anggota resmi freemasonry makanya berani ngomong gini,parent_context hati hati prof gemma masuk list pemantauan cia reply_text dia anggota resmi freemasonry makanya berani ngomong gini,5,0,negative,0.5001035928726196,lainnya,tidak_terdeteksi,tidak_terdeteksi,0.0,,,,,
UgyQqO3b1pG1JxmW3454AaABAg,Part 2,top_level,,Kita harus SOLID dukung NKRI,kita harus solid dukung nkri,kita harus solid dukung nkri,63,2,positive,0.5257971882820129,lainnya,tidak_terdeteksi,tidak_terdeteksi,3.0,,,,,
Ugy8GeBNPWoubk6HCVl4AaABAg.AXxvpREwhKDAXySwSu4Ums,Part 2,reply,Ugy8GeBNPWoubk6HCVl4AaABAg,Bibit2 fasis itu wkkwk,bibit2 fasis itu wkkwk,parent_context trader lagi ngomongin pattern tau tau ditembak iq gorilla cocok logi wkwkwkw dablek emang orang indo reply_text bibit2 fasis itu wkkwk,0,0,negative,0.42673856019973755,lainnya,tidak_terdeteksi,tidak_terdeteksi,0.0,,,,,
Ugzm7FwJzzvtZos_MYh4AaABAg,Part 2,top_level,,Mari saling menjaga untuk Indonesia,mari saling menjaga untuk indonesia,mari saling menjaga untuk indonesia,21,0,positive,0.4839589297771454,lainnya,tidak_terdeteksi,tidak_terdeteksi,6.0,,,,,
